air,omega,pr_wtr,pres,rhum,uwnd,vwnd,WVHT,WVHT_6h,WVHT_ord_6h
280.869999,0.027509,8.570768,98282.357016,72.077562,3.390133,-4.303899,1.61,1.32,A
279.360851,0.102882,8.634742,98478.718441,73.058934,-0.700232,-2.345067,1.32,1.04,A
278.413949,0.085826,6.910141,98421.392443,74.973372,-2.38435,-2.172431,1.04,1.22,A
278.93331,0.162358,9.238337,98545.833526,71.508329,-3.765814,-0.129624,1.22,1.25,A
281.706889,0.063072,13.669671,98375.479472,71.325376,-3.474486,0.172666,1.25,1.22,A
281.76878,0.056507,21.787988,98374.57671,73.487154,-5.236989,1.616401,1.22,2.4,C
281.9233,0.058451,27.26341,98067.460534,85.850089,-6.669916,4.102763,2.4,3.53,D
285.280828,-0.09505,29.968615,98228.553742,95.802236,-3.311306,6.496828,3.53,3.67,D
285.820925,-0.278919,26.003391,98332.452132,96.988354,-3.031922,6.363546,3.67,3.58,D
285.864874,0.046008,33.166758,98412.877289,94.916506,-4.416629,4.712798,3.58,3.2,D
286.606239,-0.080379,31.290773,98122.172415,88.779794,-5.772497,8.192835,3.2,3.76,D
286.654464,-0.248135,32.847453,98169.341891,92.688624,-3.349851,9.333571,3.76,3.29,D
287.558911,-0.206316,28.253369,97963.020522,89.200167,-0.985726,10.513235,3.29,3.19,D
286.164114,-0.292799,26.924978,98219.362148,96.669946,1.643422,5.199332,3.19,2.54,C
285.516415,-0.369459,14.45765,98386.989971,91.6223,4.659455,1.911899,2.54,2.18,C
284.566995,-0.344481,14.599855,98615.962308,91.718384,2.238237,2.798769,2.18,2.1,C
285.064104,-0.156706,15.859282,98560.051499,87.454811,2.00637,4.045061,2.1,2.24,C
284.469714,-0.104059,22.046827,98524.415911,91.593318,0.134616,5.490004,2.24,2.64,C
284.685332,-0.304466,24.338429,98376.694731,93.415951,0.80659,4.852852,2.64,2.56,C
284.970869,-0.177994,26.648666,98228.539883,94.783907,-1.608788,6.106699,2.56,3.22,D
285.557831,-0.399347,26.955572,97789.81757,97.039052,2.402209,8.23662,3.22,3.69,D
285.595272,-0.284911,21.266878,97683.688574,94.287165,5.527086,6.367133,3.69,3.59,D
284.610145,-0.332861,12.507745,97817.330854,88.761415,6.036249,1.795404,3.59,3.36,D
282.891823,-0.175354,13.490032,98078.822951,92.99346,3.362874,0.101941,3.36,3.68,D
283.434077,-0.254501,12.189565,98036.416659,85.364442,2.874272,1.266898,3.68,3.64,D
282.561951,-0.052213,16.757261,97985.852283,89.786118,-0.06251,1.801308,3.64,2.86,C
281.953384,-0.063305,14.991095,97766.883444,87.197455,1.304223,0.215683,2.86,2.86,C
281.825648,0.030249,12.980491,97997.264621,89.269145,2.595629,-3.523415,2.86,2.52,C
282.003011,0.082286,9.523168,98077.153171,81.27632,3.089823,-3.194129,2.52,2.94,C
281.097656,0.101672,9.395838,98324.864769,82.949328,1.084133,-2.505111,2.94,2.42,C
278.744632,0.179306,8.926446,98486.598732,87.765421,-0.208299,-3.270115,2.42,2.18,C
280.579344,0.169659,8.77005,98751.975785,83.953141,-0.472152,-2.186482,2.18,2.27,C
283.57763,0.216843,8.824752,98731.104143,77.951538,2.255543,-4.104778,2.27,2.07,B
281.73232,0.184931,8.681445,98853.103891,77.4663,0.143232,-2.842133,2.07,2.23,C
280.552753,0.078362,9.33953,98854.101435,81.137706,-0.529819,-2.867406,2.23,1.86,B
281.245546,0.061829,9.432591,98833.698386,85.482419,0.277365,-2.587107,1.86,1.68,B
283.378505,0.059225,9.30312,98647.896031,78.829485,2.261011,-3.765886,1.68,1.71,B
280.595498,0.038819,11.365415,98631.494403,84.048939,1.083232,-3.457005,1.71,1.68,B
279.885438,0.05896,10.334495,98554.302319,82.932109,0.502017,-4.089993,1.68,1.89,B
280.051726,0.055839,11.866435,98656.590721,87.361116,-0.532328,-3.275169,1.89,2.07,B
282.621233,-0.021275,11.114446,98502.598737,79.298162,0.679469,-2.671894,2.07,1.9,B
280.8552,0.211332,8.665404,98640.773769,76.887332,-0.818254,-2.298725,1.9,2.07,B
279.881606,0.105042,6.465302,98547.057506,80.205882,-1.198388,-3.119592,2.07,2.57,C
280.003951,-0.005393,7.935538,98736.784782,81.764762,-1.971838,-1.066057,2.57,2.73,C
283.432228,-0.011286,9.150391,98502.01525,71.211956,-0.284367,-1.914476,2.73,2.39,C
280.657599,0.077699,8.648022,98581.223105,75.097843,-0.691844,-2.307793,2.39,1.88,B
280.386041,0.037385,8.953278,98512.939121,76.833298,-1.566262,-1.958761,1.88,2.05,B
281.309667,0.144506,11.164608,98678.434209,79.278723,-2.328556,-1.393737,2.05,1.77,B
283.175548,0.086318,11.404452,98563.659663,76.631721,-0.811459,-0.488667,1.77,2.02,B
282.087266,0.117725,19.131425,98678.008552,81.628723,-1.532147,0.189248,2.02,3.07,C
283.224075,-0.025253,20.806016,98538.087812,74.786025,-2.207591,2.573732,3.07,2.78,C
282.083307,-0.034368,28.005661,98349.436985,90.555883,-3.810308,4.483964,2.78,3.81,D
283.801248,-0.021817,26.974868,97750.40498,90.823784,-4.574061,9.327831,3.81,5.2,E
283.785051,-0.282103,18.040151,97750.705734,91.31488,1.19655,5.687833,5.2,3.48,D
283.755896,-0.168719,11.638534,97804.32707,89.019922,3.245456,1.926621,3.48,3.71,D
